Time, Right Pos, Left Pos, Right Vel, Left Vel
10.000000, 0.000000, -0.000000, 0.000000, -0.000000
20.000000, 0.051051, 0.025525, 3.599087, 0.893390
30.000000, 0.204204, 0.127627, 17.280723, 8.882853
40.000000, 0.382882, 0.280780, 18.633571, 14.090043
50.000000, 0.561560, 0.536034, 17.663605, 30.579477
60.000000, 0.816814, 0.893390, 28.384290, 34.510395
70.000000, 1.097594, 1.097594, 29.481884, 18.965402
80.000000, 1.301797, 1.225221, 18.710148, 11.537499
90.000000, 1.480476, 1.378374, 17.025469, 18.735673
100.000000, 1.735730, 1.633628, 26.444356, 28.001408
110.000000, 1.990984, 1.863357, 26.316729, 21.313743
120.000000, 2.271764, 2.118612, 28.231137, 28.971375
130.000000, 2.527019, 2.475968, 25.244660, 33.948836
140.000000, 2.807798, 2.782273, 27.695103, 30.222121
150.000000, 3.088578, 3.088578, 27.950357, 31.983377
160.000000, 3.394884, 3.420409, 34.459344, 34.969853
170.000000, 3.752240, 3.777765, 37.241617, 36.552431
180.000000, 4.135121, 4.160647, 40.279145, 40.304670
190.000000, 4.569054, 4.594579, 43.878232, 43.954808
200.000000, 6.406886, 6.457936, 51.050881, 51.050881
210.000000, 6.942920, 6.968445, 54.011832, 52.020847
220.000000, 7.504479, 7.478954, 57.125935, 52.020847
230.000000, 8.040514, 7.989463, 52.429254, 51.842169
240.000000, 8.525497, 8.499972, 48.217557, 50.719050
250.000000, 9.061531, 9.036006, 53.067390, 52.505831
260.000000, 9.597566, 9.546515, 52.301627, 51.842169
270.000000, 10.133600, 10.082549, 56.002816, 53.297119
280.000000, 10.695159, 10.618583, 57.151461, 56.845156
290.000000, 11.307770, 11.205668, 61.822616, 59.116920
300.000000, 11.920381, 11.843804, 62.026820, 63.200990
310.000000, 12.532991, 12.788246, 60.725022, 62.562854
320.000000, 13.145602, 13.375331, 61.975769, 55.900714
330.000000, 13.758212, 13.962416, 60.495294, 60.699497
340.000000, 14.396348, 14.549501, 64.579364, 58.963767
350.000000, 15.060010, 15.162112, 69.658927, 62.511803
360.000000, 15.749197, 15.800248, 69.684452, 64.094381
370.000000, 16.412858, 16.463909, 65.421704, 66.825603
380.000000, 17.050994, 17.127570, 63.252041, 63.992279
390.000000, 18.327266, 18.378317, 64.987771, 62.792583
400.000000, 19.016453, 19.041978, 66.085365, 66.315094
410.000000, 19.680114, 19.705640, 68.765536, 67.897671
420.000000, 20.394827, 20.394827, 73.181437, 70.679944
430.000000, 21.109539, 21.109539, 72.134894, 71.496758
440.000000, 21.849777, 21.824251, 73.768522, 70.373639
450.000000, 22.564489, 22.513438, 72.160420, 70.628893
460.000000, 23.279202, 23.228151, 74.151404, 69.786554
470.000000, 23.993914, 23.917338, 71.700962, 69.812079
480.000000, 24.708626, 24.632050, 70.016283, 71.726487
490.000000, 25.423339, 25.346762, 72.670929, 70.373639
500.000000, 26.138051, 26.061475, 70.730995, 70.986250
510.000000, 26.878289, 26.776187, 73.104861, 73.742997
520.000000, 27.618526, 27.490899, 72.721979, 72.747505
530.000000, 28.358764, 28.231137, 73.283539, 75.325574
540.000000, 29.124527, 28.971375, 77.316559, 74.840591
550.000000, 29.890291, 29.711613, 73.283539, 74.738489
560.000000, 30.656054, 30.451850, 75.912659, 74.891642
570.000000, 31.396292, 31.217613, 73.589844, 75.325574
580.000000, 32.162055, 31.957851, 74.330082, 76.167914
590.000000, 32.927818, 32.698089, 73.538794, 75.248998
600.000000, 33.668056, 33.463852, 74.610862, 75.938185
610.000000, 34.433819, 34.204090, 74.891642, 76.576321
620.000000, 35.174057, 34.969853, 74.712964, 76.218965
630.000000, 35.965345, 35.735616, 77.393135, 76.959203
640.000000, 36.731109, 36.501380, 75.912659, 77.444186
650.000000, 37.522397, 37.267143, 79.435170, 78.184424
660.000000, 38.288160, 38.032906, 78.133373, 77.852593
670.000000, 39.079449, 38.824195, 79.154390, 77.163406
680.000000, 39.870738, 39.589958, 78.592831, 78.414153
690.000000, 40.636501, 40.355721, 79.767001, 77.188931
700.000000, 41.427790, 41.121484, 77.393135, 77.495237
710.000000, 42.193553, 41.912773, 78.261000, 77.367610
720.000000, 42.984841, 42.678536, 77.776017, 77.699440
730.000000, 43.750605, 43.469825, 75.580829, 78.056796
740.000000, 44.541893, 44.235588, 78.975712, 75.682931
750.000000, 45.333182, 45.001351, 76.167914, 77.444186
760.000000, 46.915759, 46.583929, 79.715950, 78.439678
770.000000, 47.707048, 47.375217, 81.706934, 79.511747
780.000000, 48.523862, 48.166506, 79.920154, 81.604833
790.000000, 49.315151, 48.983320, 79.920154, 80.175408
800.000000, 50.106439, 49.774609, 79.001238, 80.609341
810.000000, 50.897728, 50.565897, 80.226459, 79.333068
820.000000, 51.714542, 51.382711, 80.685917, 78.720458
830.000000, 52.531356, 52.174000, 80.022255, 80.073306
840.000000, 53.322645, 52.965289, 82.140867, 79.588323
850.000000, 54.139459, 53.756577, 80.277510, 79.460696
860.000000, 54.956273, 54.547866, 81.885613, 79.588323
870.000000, 55.747562, 55.364680, 78.388627, 80.303035
880.000000, 56.564376, 56.155969, 79.435170, 80.660391
890.000000, 57.355664, 56.972783, 78.592831, 80.175408
900.000000, 58.146953, 57.789597, 82.625850, 80.609341
910.000000, 58.963767, 58.580886, 82.217443, 81.426155
920.000000, 59.780581, 59.397700, 83.263986, 79.792526
930.000000, 60.597395, 60.188988, 81.043273, 80.277510
940.000000, 61.414209, 61.005802, 81.936663, 80.660391
950.000000, 62.231023, 61.797091, 79.460696, 80.456188
960.000000, 63.047838, 62.613905, 82.370596, 81.349578
970.000000, 63.864652, 63.430719, 81.834562, 80.813544
980.000000, 64.655940, 64.247533, 80.813544, 81.553782
990.000000, 65.472754, 65.064347, 81.528256, 82.855579
1000.000000, 66.264043, 65.881161, 77.239982, 80.762493
1010.000000, 67.004281, 66.646925, 71.854114, 76.270016
1020.000000, 67.693468, 67.387162, 67.489264, 71.624386
1030.000000, 68.357129, 68.101875, 67.514790, 68.433705
1040.000000, 69.020791, 68.791062, 65.881161, 67.208484
1050.000000, 69.531299, 69.429198, 42.831689, 61.567362
1060.000000, 69.888656, 69.939706, 32.468360, 45.894742
1070.000000, 70.169435, 70.297063, 27.159068, 33.259649
1080.000000, 70.373639, 70.577842, 19.399335, 27.873781
1090.000000, 70.475741, 70.807571, 14.192145, 21.339268
1100.000000, 70.501266, 70.960724, 10.261227, 14.626077
1110.000000, 70.501266, 71.011775, 10.261227, 8.117090
1120.000000, 70.501266, 71.037300, 10.261227, 6.406886
1130.000000, 70.501266, 71.037300, 9.189159, 6.406886
1140.000000, 70.501266, 71.037300, 9.189159, 6.406886
1150.000000, 70.501266, 71.037300, 7.632107, 6.406886
1160.000000, 70.501266, 71.037300, 7.632107, 5.666648
1170.000000, 70.501266, 71.037300, 7.632107, 5.666648
1180.000000, 70.501266, 71.037300, 6.381360, 5.666648
1190.000000, 70.501266, 71.037300, 6.381360, 4.747732
1200.000000, 70.501266, 71.037300, 6.381360, 4.747732
1210.000000, 70.501266, 71.037300, 0.000000, 4.747732
1220.000000, 70.501266, 71.037300, 0.000000, 5.334817
1230.000000, 70.501266, 71.037300, 0.000000, 5.334817
1240.000000, 70.501266, 71.037300, 0.000000, 5.334817
1250.000000, 70.501266, 71.037300, 0.000000, -0.000000
1260.000000, 70.501266, 71.037300, 0.000000, -0.000000
1270.000000, 70.501266, 71.037300, 0.000000, -0.000000
1280.000000, 70.501266, 71.037300, 0.000000, -0.000000
1290.000000, 70.501266, 71.037300, 0.000000, -0.000000
1300.000000, 70.501266, 71.037300, 0.000000, -0.000000
1310.000000, 70.501266, 71.088351, 0.000000, 0.867865
1320.000000, 70.501266, 71.088351, 0.000000, 1.429425
1330.000000, 70.501266, 71.113877, 0.000000, 1.403899
1340.000000, 70.501266, 71.139402, 0.000000, 1.684679
1350.000000, 70.501266, 71.139402, 0.000000, 1.684679
1360.000000, 70.501266, 71.139402, 0.000000, 1.684679
1370.000000, 70.501266, 71.139402, 0.000000, 2.475968
1380.000000, 70.501266, 71.139402, 0.000000, 2.475968
1390.000000, 70.501266, 71.139402, 0.000000, 2.093086
1400.000000, 70.501266, 71.139402, 0.000000, 2.093086
1410.000000, 70.501266, 71.139402, 0.000000, 2.093086
1420.000000, 70.501266, 71.139402, 0.000000, 4.696681
1430.000000, 70.501266, 71.139402, 0.000000, 4.696681
1440.000000, 70.501266, 71.139402, 0.000000, 4.696681
1450.000000, 70.501266, 71.139402, 0.000000, -0.000000
1460.000000, 70.501266, 71.139402, 0.000000, -0.000000
1470.000000, 70.501266, 71.139402, 0.000000, -0.000000
1480.000000, 70.501266, 71.139402, 0.000000, -0.000000
1490.000000, 70.501266, 71.139402, 0.000000, -0.000000
1500.000000, 70.501266, 71.139402, 0.000000, -0.000000
1510.000000, 70.501266, 71.139402, 0.000000, -0.000000
1520.000000, 70.501266, 71.139402, 0.000000, -0.000000
1530.000000, 70.501266, 71.139402, 0.000000, -0.000000
1540.000000, 70.501266, 71.139402, 0.000000, -0.000000
1550.000000, 70.501266, 71.139402, 0.000000, -0.000000
1560.000000, 70.501266, 71.139402, 0.000000, -0.000000
1570.000000, 70.501266, 71.139402, 0.000000, -0.000000
1580.000000, 70.501266, 71.139402, 0.000000, -0.000000
1590.000000, 70.501266, 71.139402, 0.000000, -0.000000
1600.000000, 70.501266, 71.139402, 0.000000, -0.000000
1610.000000, 70.501266, 71.139402, 0.000000, -0.000000
1620.000000, 70.501266, 71.139402, 0.000000, -0.000000
1630.000000, 70.501266, 71.139402, 0.000000, -0.000000
1640.000000, 70.501266, 71.139402, 0.000000, -0.000000
1650.000000, 70.501266, 71.139402, 0.000000, -0.000000
1660.000000, 70.501266, 71.139402, 0.000000, -0.000000
1670.000000, 70.501266, 71.139402, 0.000000, -0.000000
1680.000000, 70.501266, 71.139402, 0.000000, -0.000000
1690.000000, 70.501266, 71.139402, 0.000000, -0.000000
1700.000000, 70.501266, 71.139402, 0.000000, -0.000000
1710.000000, 70.501266, 71.139402, 0.000000, -0.000000
1720.000000, 70.501266, 71.139402, 0.000000, -0.000000
1730.000000, 70.501266, 71.139402, 0.000000, -0.000000
1740.000000, 70.501266, 71.139402, 0.000000, -0.000000
1750.000000, 70.501266, 71.139402, 0.000000, -0.000000
1760.000000, 70.501266, 71.139402, 0.000000, -0.000000
1770.000000, 70.501266, 71.139402, 0.000000, -0.000000
1780.000000, 70.501266, 71.139402, 0.000000, -0.000000
1790.000000, 70.501266, 71.139402, 0.000000, -0.000000
1800.000000, 70.501266, 71.139402, 0.000000, -0.000000
1810.000000, 70.501266, 71.139402, 0.000000, -0.000000
1820.000000, 70.501266, 71.139402, 0.000000, -0.000000
